SiteID,Taxon ID,Scientific name,Sc,V,I,F,N,P,Se,No of guilds
3,6005605,Hylophilus ochraceiceps,0,0,1,0,0,0,0,1
3,6006982,Microcerculus marginatus,0,0,1,0,0,0,0,1
3,6009219,Cissopis leverianus,0,0,1,1,0,0,0,2
3,6009253,Hemithraupis guira,0,0,1,0,0,0,0,1
3,6009273,Lanio versicolor,0,0,1,1,0,0,0,2
3,6009281,Tachyphonus rufiventer,0,0,1,1,0,0,0,2
3,6009289,Habia rubica,0,0,1,0,0,0,0,1
3,6009308,Ramphocelus carbo,0,0,1,1,0,0,0,2
3,6009313,Thraupis episcopus,0,0,1,1,0,0,0,2
3,6009366,Euphonia chrysopasta,0,0,0,1,0,0,0,1
3,6009371,Euphonia rufiventris,0,0,0,1,0,0,0,1
3,6009375,Chlorophonia cyanea,0,0,0,1,0,0,0,1
3,6009383,Tangara mexicana,0,0,1,1,0,0,0,2
3,6009386,Tangara chilensis,0,0,1,1,0,0,0,2
3,6009393,Tangara schrankii,0,0,0,1,0,0,0,1
3,6009400,Tangara xanthogastra,0,0,1,1,0,0,0,2
3,6009405,Tangara gyrola,0,0,0,1,0,0,0,1
3,6009419,Tangara nigrocincta,0,0,0,1,0,0,0,1
3,6009430,Tangara callophrys,0,0,1,1,0,0,0,2
3,6009434,Dacnis lineata,0,0,1,1,0,0,0,2
3,6009438,Dacnis cayana,0,0,1,1,0,0,0,2
3,6009441,Chlorophanes spiza,0,0,1,1,0,0,0,2
3,6009444,Cyanerpes caeruleus,0,0,1,1,0,0,0,2
3,6009630,Saltator grossus,0,0,1,0,0,0,1,2
3,6009633,Saltator maximus,0,0,0,1,1,1,0,3
3,6009646,Cyanocompsa cyanoides,0,0,0,0,0,0,1,1
3,6009658,Psarocolius decumanus,0,1,1,1,1,0,0,4
3,6009661,Psarocolius angustifrons,0,1,1,0,1,0,0,3
3,6009668,Cacicus cela,0,1,1,1,1,0,0,4
3,39535965,Willisornis poecilinotus,0,0,1,0,0,0,0,1
3,60031112,Momotus momota,0,1,1,1,0,0,0,3
3,60032142,Myrmotherula brachyura,0,0,1,0,0,0,0,1
3,60032159,Capito niger,0,0,0,1,0,0,0,1
3,60032179,Myrmeciza hemimelaena,0,0,1,0,0,0,0,1
3,60032248,Dendrocincla fuliginosa,0,1,1,0,0,0,0,2
3,60032249,Xiphorhynchus guttatus,0,0,1,0,0,0,0,1
3,60032467,Pteroglossus azara,0,0,0,1,0,0,0,1
3,60032471,Ramphastos tucanus,0,1,1,1,1,0,0,4
3,60032512,Hypocnemis cantator,0,0,1,0,0,0,0,1
3,60032666,Trogon viridis,0,0,1,1,0,0,0,2
4,60069,Ortalis guttata,0,0,0,1,0,0,0,1
4,600541,Picumnus aurifrons,0,0,1,0,0,0,0,1
4,600663,Veniliornis passerinus,0,0,1,0,0,0,0,1
4,600920,Nonnula ruficapilla,0,0,1,0,0,0,0,1
4,6001314,Coccycua minuta,0,0,1,0,0,0,0,1
4,6001321,Crotophaga ani,0,1,1,0,0,0,0,2
4,6001693,Streptoprocne rutila,0,0,1,0,0,0,0,1
4,6001703,Streptoprocne zonaris,0,0,1,0,0,0,0,1
4,6001805,Phaethornis superciliosus,0,0,1,0,1,0,0,2
4,6001808,Phaethornis hispidus,0,0,1,0,1,0,0,2
4,6001834,Campylopterus largipennis,0,0,1,0,1,0,0,2
4,6001899,Thalurania furcata,0,0,1,0,1,0,0,2
