TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value
600811,Lybius torquatus,Lybius torquatus,Black-collared Barbet,40,0,0,0,0,0,60,0,0,0,0,0,0,30,50,20,0,0,51.7
600814,Lybius bidentatus,Lybius bidentatus,Double-toothed Barbet,50,0,0,0,0,0,50,0,0,0,0,0,30,30,40,0,0,0,79.34
600817,Trachyphonus purpuratus,Trachyphonus purpuratus,Yellow-billed Barbet,50,0,0,0,0,0,20,0,0,30,0,0,40,30,30,0,0,0,76.1
600831,Eubucco richardsoni,Eubucco richardsoni,Lemon-throated Barbet,40,0,0,0,0,0,60,0,0,0,0,0,0,0,60,40,0,0,33.9
600832,Eubucco bourcierii,Eubucco bourcierii,Red-headed Barbet,40,0,0,0,0,0,60,0,0,0,0,0,0,20,80,0,0,0,37
600836,Semnornis ramphastinus,Semnornis ramphastinus,Toucan Barbet,40,0,0,0,0,0,60,0,0,0,0,0,0,10,90,0,0,0,97.7
600837,Aulacorhynchus prasinus,Aulacorhynchus prasinus,Emerald Toucanet,30,0,0,0,10,0,50,0,0,10,0,0,0,0,60,40,0,0,170.56
600840,Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,20,10,0,0,0,0,0,60,10,0,0,0,0,33,33,33,0,0,194.39
600844,Pteroglossus viridis,Pteroglossus viridis,Green Aracari,0,0,0,0,0,0,100,0,0,0,0,0,0,33,33,33,0,0,135
600848,Pteroglossus castanotis,Pteroglossus castanotis,Chestnut-eared Aracari,10,10,0,0,0,0,60,0,10,10,0,0,0,20,60,20,0,0,258.09
600851,Pteroglossus frantzii,Pteroglossus frantzii,Fiery-billed Aracari,10,10,0,0,0,0,80,0,0,0,0,0,0,0,20,80,0,0,253
600854,Pteroglossus beauharnaesii,Pteroglossus beauharnaesii,Curl-crested Aracari,0,20,0,0,0,0,80,0,0,0,0,0,0,20,20,60,0,0,215.91
600856,Andigena laminirostris,Andigena laminirostris,Plate-billed Mountain-toucan,10,10,0,0,0,0,80,0,0,0,0,0,0,10,90,0,0,0,311
600860,Selenidera spectabilis,Selenidera spectabilis,Yellow-eared Toucanet,20,0,0,0,0,0,80,0,0,0,0,0,0,0,60,40,0,0,219
600861,Selenidera reinwardtii,Selenidera reinwardtii,Golden-collared Toucanet,40,0,0,0,0,0,60,0,0,0,0,0,0,33,33,33,0,0,161.77
600862,Selenidera nattereri,Selenidera nattereri,Tawny-tufted Toucanet,0,0,0,0,0,0,60,0,40,0,0,0,0,0,60,40,0,0,158.4
600863,Selenidera piperivora,Selenidera piperivora,Guianan Toucanet,40,0,0,0,0,0,60,0,0,0,0,0,0,0,20,80,0,0,147
600864,Selenidera maculirostris,Selenidera maculirostris,Spot-billed Toucanet,20,0,0,0,0,0,80,0,0,0,0,0,0,20,40,40,0,0,164
600866,Ramphastos sulfuratus,Ramphastos sulfuratus,Keel-billed Toucan,20,10,10,0,0,0,60,0,0,0,0,0,0,0,60,40,0,0,409.69
600867,Ramphastos brevis,Ramphastos brevis,Choco Toucan,20,0,0,0,0,0,80,0,0,0,0,0,0,0,20,80,0,0,412
600871,Ramphastos dicolorus,Ramphastos dicolorus,Red-breasted Toucan,10,10,0,0,0,0,80,0,0,0,0,0,20,0,0,80,0,0,331
600872,Ramphastos swainsonii,Ramphastos swainsonii,Chestnut-mandibled Toucan,20,10,10,0,0,0,60,0,0,0,0,0,0,10,30,60,0,0,651.68
600884,Galbula albirostris,Galbula albirostris,Yellow-billed Jacamar,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,22.1
600886,Galbula ruficauda,Galbula ruficauda,Rufous-tailed Jacamar,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,26.5
600887,Galbula galbula,Galbula galbula,Green-tailed Jacamar,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,23
600892,Galbula leucogastra,Galbula leucogastra,Bronzy Jacamar,100,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,15.9
600893,Galbula dea,Galbula dea,Paradise Jacamar,100,0,0,0,0,0,0,0,0,0,0,0,0,20,20,60,0,0,27.4
600894,Jacamerops aureus,Jacamerops aureus,Great Jacamar,90,0,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,62.9
600897,Notharchus ordii,Notharchus ordii,Brown-banded Puffbird,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,52.8
600900,Bucco tamatia,Bucco tamatia,Spotted Puffbird,90,0,10,0,0,0,0,0,0,0,0,0,20,60,20,0,0,0,35.5
600908,Malacoptila fusca,Malacoptila fusca,White-chested Puffbird,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,45.4
600912,Malacoptila rufa,Malacoptila rufa,Rufous-necked Puffbird,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,47.52
600913,Malacoptila panamensis,Malacoptila panamensis,White-whiskered Puffbird,70,0,30,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,42.6
600914,Malacoptila mystacalis,Malacoptila mystacalis,Moustached Puffbird,90,0,10,0,0,0,0,0,0,0,0,0,30,40,30,0,0,0,49
600915,Micromonacha lanceolata,Micromonacha lanceolata,Lanceolated Monklet,80,0,0,0,0,0,20,0,0,0,0,0,33,33,33,0,0,0,19.8
600916,Nonnula rubecula,Nonnula rubecula,Rusty-breasted Nunlet,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,18.4
600918,Nonnula brunnea,Nonnula brunnea,Brown Nunlet,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,14.5
600920,Nonnula ruficapilla,Nonnula ruficapilla,Rufous-capped Nunlet,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,22
600923,Monasa atra,Monasa atra,Black Nunbird,80,0,20,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,90.4
600924,Monasa nigrifrons,Monasa nigrifrons,Black-fronted Nunbird,70,0,30,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,80.7
600925,Monasa morphoeus,Monasa morphoeus,White-fronted Nunbird,80,0,10,0,0,0,10,0,0,0,0,0,33,33,33,0,0,0,87.9
600927,Chelidoptera tenebrosa,Chelidoptera tenebrosa,Swallow-wing,100,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,40,0,35.9
600937,Tockus alboterminatus,Tockus alboterminatus,Crowned Hornbill,40,10,10,0,0,0,40,0,0,0,0,0,20,10,10,60,0,0,223.65
600944,Ocyceros gingalensis,Ocyceros gingalensis,Sri Lanka Grey Hornbill,10,0,10,0,0,0,80,0,0,0,0,0,30,10,50,10,0,0,238
600947,Anthracoceros albirostris,Anthracoceros albirostris,Oriental Pied Hornbill,20,10,10,0,0,0,60,0,0,0,0,0,40,20,30,10,0,0,892.89
600948,Anthracoceros malayanus,Anthracoceros malayanus,Black Hornbill,20,0,0,0,0,0,80,0,0,0,0,0,20,20,60,0,0,0,1050
600949,Anthracoceros marchei,Anthracoceros marchei,Palawan Hornbill,10,0,10,0,0,0,80,0,0,0,0,0,20,30,30,20,0,0,750
