"Site","Study","PF_SF","Age","Point_obs","Mist_nets","Transect","Vocal","SpR","FDpg","FRic","qual_FRic","FEve","FDiv","FDis","RaoQ","PF_SpR","PF_FRic","PF_FEve","PF_FDiv","PF_FDis","PF_RaoQ","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp","Rao_comp"
70,28,"SF",4,"Yes","No","No","Yes",124,6.39397954412053,4.15939084581109e-12,0.729624269698574,0.816741214073302,0.800773970205997,0.0634692531873294,0.00581444988570968,153,1.20328289018375e-10,0.797856632509654,0.77253194793394,0.0702009475941806,0.00923687372485084,-0.210156355787398,-3.36485511701558,0.0233933704433236,0.0359053582694218,-0.100806222572491,-0.462857308070791
67,27,"SF",5,"Yes","No","No","Yes",32,2.7723501847262,9.99054465928654e-13,0.768038999728848,0.897346647452861,0.847831283987028,0.067229084680904,0.00533190744813632,47,4.53213565833099e-11,0.85688113541238,0.802151158990032,0.0827419754746542,0.0097750704838302,-0.384411698910332,-3.81472435051826,0.0461430289057067,0.0553845907842204,-0.207621074792621,-0.606126272115529
68,27,"SF",15,"Yes","No","No","Yes",27,2.43555673296193,4.0195227907077e-13,0.768038999728848,0.860018929746073,0.797950861776999,0.0685512651720159,0.00794424897619055,47,4.53213565833099e-11,0.85688113541238,0.802151158990032,0.0827419754746542,0.0097750704838302,-0.554310735705729,-4.72520027533633,0.00365518982832858,-0.00525004881720256,-0.188145174408213,-0.207387048801995
65,26,"SF",9,"Yes","No","No","Yes",135,6.3057080375895,7.94184298073046e-11,0.716241121173261,0.826060544583888,0.797116101619035,0.0619628529489617,0.00617972124949796,133,9.23419446180801e-12,0.812797698547424,0.806600484437899,0.0641199851547197,0.00601421120556055,0.0149256502166759,2.1518170715729,0.0161858240538091,-0.0118281415520183,-0.034221036717005,0.0271479622609494
63,25,"SF",50,"No","Yes","No","No",46,2.73854651881034,9.05418822234913e-13,0.798184263083084,0.836204091427298,0.784046116888643,0.0560267699649453,0.0041859147581821,60,2.7374283018889e-11,0.791250816828778,0.782812594169176,0.0708389307344348,0.00757951197631106,-0.265703165733005,-3.40896165203804,0.0552577060068372,0.00157451717324364,-0.234579107106389,-0.59372355424214
61,24,"SF",20,"Yes","Yes","No","Yes",59,4.81585579891552,2.2579660100988e-11,0.721291141235932,0.87915643341818,0.856777213652035,0.0793449668812185,0.00709916154091337,84,7.16639188306557e-11,0.863748457125373,0.844670636989758,0.0795740640084662,0.00772116004827221,-0.353279354937594,-1.15493789131906,0.0176812605056442,0.0142311514060217,-0.0028831951046846,-0.0839879338235567
56,22,"SF",10,"No","No","Yes","Yes",18,1.96157948588436,2.52279162619421e-12,0.956672703915006,0.803610178887438,0.75460868992809,0.108197981663996,0.0166950337894316,18,2.52279162619421e-12,0.803610178887438,0.75460868992809,0.108197981663996,0.0166950337894316,0,0,0,0,0,0
57,22,"SF",30,"No","No","Yes","Yes",18,1.96157948588436,2.52279162619421e-12,0.956672703915006,0.803610178887438,0.75460868992809,0.108197981663996,0.0166950337894316,18,2.52279162619421e-12,0.803610178887438,0.75460868992809,0.108197981663996,0.0166950337894316,0,0,0,0,0,0
54,21,"SF",7,"Yes","Yes","Yes","Yes",67,4.42598884751302,2.03289799064187e-13,0.729776450237314,0.840034800486512,0.857559212735008,0.0547529094334514,0.00335592160812319,91,2.88687803786631e-11,0.820726010165348,0.82235197749678,0.0636618131800567,0.00608162514042173,-0.306166887125884,-4.95588348386812,0.0232539933372116,0.0419217295339233,-0.150754396076951,-0.594545523485812
52,20,"SF",13,"No","No","No","Yes",77,5.53716955195095,5.3987439848069e-11,0.725564226412019,0.831951808712894,0.811825757195011,0.0710333260926218,0.00707517371046149,59,1.79859577189477e-11,0.867483723010373,0.804095476748567,0.0712392728350419,0.00736533210194861,0.266267977947964,1.09916009738981,-0.0418222316209771,0.00956771809655171,-0.00289510261033676,-0.0401921448689624
