TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value,Body_length_HBW,Body_mass_HBW,Breeding_HBW,Movement_patt_HBW
6009197,Granatellus pelzelni,Granatellus pelzelni,Rose-breasted Chat,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,11.2,12.25,11.25,N,Not a Migrant
6009199,Coereba flaveola,Coereba flaveola,Bananaquit,30,0,0,0,0,0,0,70,0,0,0,0,0,80,20,0,0,0,10.01,10.75,10.3,N,Not a Migrant
6009200,Conirostrum speciosum,Conirostrum speciosum,Chestnut-vented Conebill,70,0,0,0,0,0,10,0,10,10,0,0,60,20,20,0,0,0,8.8,11,8.5,N,Not a Migrant
6009218,Lamprospiza melanoleuca,Lamprospiza melanoleuca,Red-billed Pied Tanager,30,0,0,0,0,0,40,0,30,0,0,0,0,0,20,70,10,0,34,17.5,31.5,N,Not a Migrant
6009219,Cissopis leverianus,Cissopis leverianus,Magpie Tanager,30,0,0,0,0,0,70,0,0,0,0,0,20,30,30,20,0,0,76,26.66666667,74.66,N,Not a Migrant
6009220,Chlorornis riefferii,Chlorornis riefferii,Grass-green Tanager,40,0,0,0,0,0,30,0,30,0,0,0,0,30,70,0,0,0,53,20,50.5,N,Not a Migrant
6009224,Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Common Bush-tanager,80,0,0,0,0,0,10,0,10,0,0,0,10,30,30,30,0,0,19.98,13.5,18.825,N,Not a Migrant
6009227,Chlorospingus semifuscus,Chlorospingus semifuscus,Dusky Bush-tanager,0,0,0,0,0,0,100,0,0,0,0,0,0,20,50,30,0,0,19,14.5,20,N,Not a Migrant
6009230,Chlorospingus flavigularis,Chlorospingus flavigularis,Yellow-throated Bush-tanager,30,0,0,0,0,0,60,0,0,10,0,0,0,60,30,10,0,0,25.6,14,21.875,N,Not a Migrant
6009240,Hemispingus melanotis,Hemispingus melanotis,Black-eared Hemispingus,80,0,0,0,0,0,0,0,20,0,0,0,0,60,30,10,0,0,16,13.5,17.5,N,Not a Migrant
